id,camp_category_id,organization_id,camp_procedure_id,acceptable_regions,acceptable_programs,acceptable_education_levels,name_en,name_th,short_description_en,short_description_th,long_description,min_cgpa,other_conditions,application_fee,deposit,url,fburl,app_close_date,confirmation_date,announcement_date,interview_date,interview_information,event_start_date,event_end_date,location,quota,backup_limit,contact_campmaker,payment_information
11,,,,,,,,,,,,,,,,,,,,,,,,,,,5,พี่นิ้ง 081-234-5678,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,5,พี่ไหม 081-234-5678,
13,,120,,,,,,,,,,,,,,,,,,,,,,,,,5,พี่ดาว 081-234-5678,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,5,พี่พิชชี่ 081-234-5678,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,5,พี่กิฟต์ 081-234-5678,
16,,121,,,,,,,,,,,,,,,,,,,,,,,,,5,พี่ผิง 081-234-5678,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,5,พี่นาว 081-234-5678,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,5,พี่เชอร์รี่ 081-234-5678,
19,,122,,,,,,,,,,,,,,,,,,,,,,,,,5,พี่นิ้ง 081-234-5678,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,5,พี่ไหม 081-234-5678,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,5,พี่ดาว 081-234-5678,
22,,123,,,,,,,,,,,,,,,,,,,,,,,,,5,พี่พิชชี่ 081-234-5678,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,5,พี่กิฟต์ 081-234-5678,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,5,พี่ผิง 081-234-5678,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,5,พี่นาว 081-234-5678,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,5,พี่เชอร์รี่ 081-234-5678,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,5,พี่นิ้ง 081-234-5678,
28,14,125,4,"[1, 2, 3, 4, 5, 6]",[1],[4],Born to be a Pharmacist 18,Born to be a Pharmacist ครั้งที่ 18 คณะเภสัชศาสตร์ ม.ศรีนรินทรวิโรฒ,Born to be a Pharmacist 18 at Srinakharinwirot University,หากคุณมีความฝันอยากเป็นเภสัชกร แต่ยังไม่รู้ว่ากว่าจะเป็นเภสัชกรได้ต้องทำยังไง!? ปีนี้เรามาใน concept PHARMCODE มาร่วมกันไขรหัสลับสู่การเป็นเภสัชกร เพราะความจริงมีเพียงหนึ่งเดียว!,ค่ายที่ให้น้องๆ ม.ปลายจะได้ลองเข้ามาสัมผัสกับบรรยากาศในการเรียนคณะเภสัชศาสตร์ มหาวิทยาลัยศรีนครินทรวิโรฒ ศึกษาเส้นทางกว่าจะได้เป็นเภสัชกร โดยมีกิจกรรมและความสนุกมากมายให้น้องๆ ได้ค้นหาตัวเอง โดยค่ายจัด 2 วัน 1 คืน,,,700,,,https://www.facebook.com/borncamp.swu,2019-11-26 23:59:59,2020-1-1 23:59:59,2020-12-10 23:59:59,,,2020-1-26 9:0:0,2020-1-27 23:59:59,,,5,พี่ไหม 081-234-5678,
29,4,125,4,"[1, 2, 3, 4, 5, 6]","[1, 2, 3]",[4],Education Camp 9,ค่ายเพราะครู เพาะคน ครั้งที่ 9 “เพราะครูจุดประกายคน”,Education Camp 9 at Srinakharinwirot University,ความเป็นครูที่ซ่อนอยู่ภายใน ถึงเวลาที่จะเปล่งประกายสักที “ค่ายเพราะครู เพาะคน ครั้งที่ 9” ตอน Prohkru 9 Shines Teachers “เพราะครูจุดประกายคน” ณ มหาวิทยาลัยศรีนครินทรวิโรฒ ประสานมิตร – องครักษ์,,,,850,,,https://www.facebook.com/nisitkruswucamp,2020-3-16 23:59:59,2020-5-10 23:59:59,2020-4-16 23:59:59,,,2020-6-12 9:0:0,2020-6-16 23:59:59,มหาวิทยาลัยศรีนครินทรวิโรฒ ประสานมัตร – องครักษ์,100,5,พี่ดาว 081-234-5678,
30,12,125,4,"[1, 2, 3, 4, 5, 6]","[1, 2, 3]",[4],DentSWU First Step 10th,“DentSWU First Step 10th” ค่ายก้าวแรกสู่หมอฟัน มศว ครั้งที่ 10,DentSWU First Step 10th at Srinakharinwirot University,มาเรียนรู้ชิวิตนิสิตทันตแพทย์ภายในเวลา48ชม ว่าเราทำอะไร เรียนอะไรกันบ้าง ผ่านการทำกิจกรรมสนุกสนานต่างๆ,“DentSWU First Step 10th” ค่ายที่จะให้น้องๆ ได้เข้ามาเรียนรู้ว่า ชีวิตนิสิตทันตแพทย์ต้องเรียนอะไรบ้าง เพื่อเป็นแนวทางในการตัดสินใจเลือกเรียน ไม่ว่าจะเป็นการเรียนรู้ในห้องเรียน หรือเรียนทางห้องปฏิบัติการ โดยจะมีพี่ๆ คอยให้คำปรึกษา และมีกิจกรรมต่างๆในค่ายเป็นสื่อกลาง อย่ารอช้า! พวกพี่ๆ ยินดีต้อนรับและพร้อมเปิดประสบการณ์ใหม่ๆ ให้น้องๆ ทุกคน รีบมาสมัครกันน้าาา,,,300,,,https://www.facebook.com/DentSWUFirstStep,2020-4-30 23:59:59,2020-5-29 23:59:59,2020-5-10 23:59:59,,,2020-6-1 9:0:0,2020-6-2 23:59:59,คณะทันตแพทยศาสตร์ มศว ประสานมิตร (อโศก),60,5,พี่พิชชี่ 081-234-5678,
31,7,126,4,"[1, 2, 3, 4, 5, 6]","[1, 2, 3]",[4],Art & Archeology Camp 14,ค่ายเยาวชนรักษ์ ศิลปะ และโบราณคดี ครั้งที่ 14 “พิษรักษ์ พิษณุโลก”,Art & Archeology Camp 14 at Silapakorn University,ค่ายที่จะพาเราไปเรียนรู้เกี่ยวกับประวัติศาสตร์ทั้งทางศิลปะความสวยงามและความเป็นมาตามฉบับโบราณคดี อยากรู้ว่าค่ายใหญ่ครั้งนี้จะสนุกแค่ไหน อย่าลืมสมัครมาร่วมกิจกรรมกับเรานะคะ,ค่ายใหญ่ครั้งที่ 14 ครั้งนี้ เราจะพาน้องๆ ที่สนใจในความเป็นโบราณคดีไปสัญจรเมืองสองแคว เมืองกำแพงเพชร เมืองประวัติศาสตร์เก่าแก่ของเราแต่ก่อน นอกจากนี้น้องๆ จะยังได้เรียนรู้เกี่ยวกับพิพิธภัณฑ์พื้นบ้าน ความเป็นมานุษยวิทยา ความหรรษาของวิทยากรและความรู้มากมายเกี่ยวกับประวัติศาสตร์ศิลปะตามโบราณสถาน กิจกรรมเวียนฐานตั่งต่างมากมาย เปิดโอกาสให้น้องๆได้แลกเปลี่ยนสอบถามเกี่ยวกับคณะโบราณคดีทั้ง 7 สาขาวิชา แล้วมาร่วมเป็นส่วนหนึ่งของค่ายด้วยกันนะคะ,,,800,,,https://www.facebook.com/bigcampsu,2020-12-20 23:59:59,2021-1-5 23:59:59,2020-12-29 23:59:59,,,2021-1-10 9:0:0,2021-1-13 23:59:59,จังหวัดพิษณุโลกและกำแพงเพชร,40,5,พี่กิฟต์ 081-234-5678,
32,5,126,4,"[1, 2, 3, 4, 5, 6]","[1, 2, 3]",[4],Architecting World,เข้าวังนั่งติว ตอน Architecting World – โลกผู้วิเต็ก,Architecting World at Silapakorn University,ค่ายติวความถนัดทางสถถาปัตยกรรมศาสตร์ โดยพี่ๆคณะสถาปัตยกรรมศาสตร์ และนี่ก็คือ เข้าวังนั่งติว!!!!,,,,450,,,https://www.facebook.com/tectkaowang/?ref=br_rs,2020-1-14 23:59:59,2020-1-24 23:59:59,2020-1-22 23:59:59,,,2020-1-26 9:0:0,2020-1-27 23:59:59,อาคารสมบูรณ์ ,300,5,พี่ผิง 081-234-5678,
33,18,126,4,"[1, 2, 3, 4, 5, 6]","[1, 2, 3]","[3, 4]",Archeology Camp 6,ค่ายวิชาการโบราณคดี ครั้งที่ 6 คณะโบราณคดี ม.ศิลปากร,Archeology Camp 6 at Silapakorn University,สองมือล้วงกระเป๋า สองเท้าก้าวเข้ามา จับเกรียงปลูกข้าว แล้วมาร้องเล่าเมืองสุพรรณกัน ฮิ้ววววววววววววววววว ค่ายวิชาการโบราณคดีครั้งที่ 6 มาแล้วจ้าาาา,รู้หมือไร่? จังหวัดสุพรรณบุรีเป็นหนึ่งในจังหวัดที่มีความล้ำค่าทางประวัติศาสตร์มากเลยนะเออ!!! อยากรู้ป่ะว่าอู่ทองซ่อมอะไร? ข้าวมีความเกี่ยวข้องยังไงกับจังหวัดนี้? และทำไมควายถึงเป็นสัตว์ขึ้นชื่อในจังหวัดสุพรรณบุรี? ถ้าอยากได้คำตอบก็ต้องมาค่ายนี้แล้วป่ะะะะะะ,,,800,,,https://www.facebook.com/archaeocampsu,2020-2-25 23:59:59,2020-3-25 23:59:59,2020-3-1 23:59:59,,,2020-4-4 9:0:0,2020-4-7 23:59:59,จังหวัดสุพรรณบุรี,35,5,พี่นาว 081-234-5678,
34,1,127,4,"[1, 2, 3, 4, 5, 6]","[1, 2, 3]",[4],LGI Camp 7,ค่ายหล่อ(ว์)เกียร์ INTANIA ครั้งที่ 7,LGI Camp 7 at Prince of Songkla University,ค่ายวิชาการสำหรับน้องๆ ม.ปลายที่เต็มไปด้วยความสนุก พาน้องๆ ลงแลปถึง 7ภาควิชา!! อยากจะเรียนคณะวิศวกรรมศาสตร์ หรืออยากจะรู้ว่าคณะวิศวกรรมศาสตร์เราเรียนอะไรบ้าง เรียนยังไง ไม่ควรพลาดดดด…,,,,100,,,https://www.facebook.com/LGICamp,2020-3-22 23:59:59,2020-5-10 9:0:0,2020-4-10 23:59:59,,,2020-5-20 9:0:0,2020-5-26 23:59:59,คณะวิศวกรรมศาสตร์ มหาวิทยาลัยสงขลานครินทร์,72,5,พี่เชอร์รี่ 081-234-5678,
35,2,127,4,"[1, 2, 3, 4, 5, 6]","[1, 2, 3]",[4],Junior Physics Camp 1,Junior Physics Camp ครั้งที่ 1 ม.สงขลานครินทร์ วิทยาเขตหาดใหญ่,Junior Physics Camp 1 at Prince of Songkla University,ค่ายที่จะพาน้องๆ ไปเห็นมุมมองใหม่ๆ ของวิชา “ฟิสิกส์” ค่ายที่จะทำให้น้องๆ ได้สนุกกับการทดลองทางฟิสิกส์ที่ไม่ได้มีอยู่ในห้องเรียน ค่ายที่จะทำให้น้องๆ ได้รู้จักและรักฟิสิกส์มากขึ้น,“ฟิสิกส์” คำที่น้องๆ ทุกคนคุ้นหูกันมาตั้งแต่เด็กๆ แล้วมาพบเจอในตอนเรียนมัธยม แต่น้องๆ รู้หรือไม่ว่า “ฟิสิกส์” ไม่ได้มีไว้ใช้แค่ในการแก้โจทย์ปัญหาเท่านั้น มาเปิดมิติใหม่ของ “ฟิสิกส์” กับค่าย “Junior Physics Camp ครั้งที่ 1”,,,1200,,,https://www.facebook.com/Physics-club-PSU-1286013494755931,2020-4-9 23:59:59,2020-5-10 9:0:0,2020-4-20 23:59:59,,,2020-5-16 9:0:0,2020-5-16 23:59:59,คณะวิทยาศาตร์ มหาวิทยาลัยสงขลานครินทร์ วิทยาเขตหาดใหญ่,60,5,พี่นิ้ง 081-234-5678,
36,14,127,4,"[1, 2, 3, 4, 5, 6]","[1, 2, 3]",[4],Pharmacy Camp 16,ค่ายสู่รั้วหมอยา ครั้งที่ 16 คณะเภสัชศาสตร์ ม.สงขลานครินทร์,Pharmacy Camp 16 at Prince of Songkla University,กลับมาอีกครั้งกับ 3D Camp ที่จะพาน้องๆ ย้อนกลับไปสู่อาณาจักรโบราณกับตำนาน Legend of 3D โดยพี่ๆ จากสาขาออกแบบสนเทศสามมิติ คณะสถาปัตยกรรมศาสตร์ พระจอมเกล้าลาดกระบัง,ค่ายนี้จะทำให้น้องรู้จักกับความเป็นเภสัชกรอย่างรู้ลึกรู้จริงอย่างที่น้องๆ จะไม่เคยพบที่ใดมาก่อน รวมถึงนี่จะเป็นค่ายที่ช่วยสานทอความฝันของน้องๆ ในการตัดสินใจเลือกคณะและอาชีพในอนาคตของน้องๆ โดยการสมัครค่ายหมอยาในปีนี้เป็นรูปแบบการ สมัครทางไปรษณีย์/ส่งเอกสารออนไลน์ โดยน้องๆ สามารถเข้าไปดาวน์โหลดเอกสารการสมัคร รวมถึงดูรายละเอียดต่างๆ ในการสมัคร ได้เลย สุดท้ายนี้ พี่อยากบอกน้องๆ ว่า “Pharmacist อยู่ที่ใด ความอุ่นใจอยู่ที่นั่น แต่รักไม่แบ่งปัน พี่นั้นเก็บให้น้องแค่คนเดียวววววว”,,,1200,,,https://www.facebook.com/PSURxcamp,2020-4-15 23:59:59,2020-5-5 9:0:0,2020-5-1 23:59:59,,,2020-5-17 9:0:0,2020-5-20 23:59:59,คณะเภสัชศาสตร์ มหาวิทยาลัยสงขลานครินทร์,120,5,พี่ไหม 081-234-5678,
37,20,137,4,"[1, 2, 3, 4, 5, 6]","[1, 2, 3]",[4],Legend of 3D Camp,Legend of 3D Camp ค่ายติวออกแบบสนเทศสามมิติ สถาปัตย์ลาดกระบัง,Legend of 3D Camp at KMITL,กลับมาอีกครั้งกับ 3D Camp ที่จะพาน้องๆ ย้อนกลับไปสู่อาณาจักรโบราณกับตำนาน Legend of 3D โดยพี่ๆ จากสาขาออกแบบสนเทศสามมิติ คณะสถาปัตยกรรมศาสตร์ พระจอมเกล้าลาดกระบัง,มนุษย์ล้วนอาศัยอยู่ในโลกที่เต็มไปด้วยมิติที่หลากหลาย ความพยายามในการรับรู้ความหมาย ผ่านประสาทสัมผัสต่างๆ ต่อกายภาพของสิ่งแวดล้อมรอบตัว จึงเป็นสิ่งที่มีความจำเป็นมากขึ้น ประกอบกับกระแสความเปลี่ยนแปลงวิถีการดารงชีวิตของมนุษย์ในปัจจุบัน สร้างวัฒนธรรมทางการสื่อสารในรูปแบบใหม่ๆ อีกทั้งความก้าวหน้าทางเทคโนโลยีด้านต่างๆ ก่อให้เกิดการพัฒนารูปแบบของสื่อและนวัตกรรมทางการสื่อสารอย่างต่อเนื่อง เป็นเหตุให้นักออกแบบสื่อเพื่อการสื่อสาร จำเป็นต้องมีความรู้ความเข้าใจในศาสตร์ ที่หลากหลายอย่างลึกซึ้ง เพื่อนาความรู้เหล่านั้นมาประยุกต์ใช้สร้างสรรค์งานออกแบบ ให้สอดคล้องกับความต้องการของผู้คนตามแต่ละยุคสมัย รูปแบบของสื่อจึงต้องมีความเหมาะสมกับบริบทของ สถานการณ์ สิ่งแวดล้อม การผลิตชิ้นงาน ความสามารถในการแปลความหมายของผู้คน เป็นต้น,,,450,,,https://www.facebook.com/3designcamp,2020-12-15 23:59:59,2020-12-20 9:0:0,2020-12-18 23:59:59,,,2020-12-22 9:0:0,2020-12-23 23:59:59,ตึกบูรณาการ คณะสถาปัตยกรรมศาสตร์ สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,60,5,พี่ดาว 081-234-5678,
38,3,137,4,"[1, 2, 3, 4, 5, 6]","[1, 2]",[4],CS Camp XI,CS Camp XI ค่ายวิทยาการคอมพิวเตอร์ พระจอมเกล้าลาดกระบัง,CS Camp XI at IT Ladkrabang,CS Camp XI น้องๆ จะได้ทำกิจกรรมเชิงปฏิบัติการและบูรณาการ การเขียนโปรแกรมเบื้องต้น ผ่านกิจกรรมฐาน และเกม ด้วยหลัก STEM มาประยุกต์ใช้ในการแก้ปัญหาต่างๆ มาร่วมเป็นส่วนหนึ่งของค่ายกันนะ,ค่ายฝึกอบรมเชิงปฏิบัติการวิทยาการคอมพิวเตอร์ ครั้งที่ 11 หรือ CS camp 11 เป็นค่ายที่จัดโดยภาควิชาวิทยาการคอมพิวเตอร์ คณะวิทยาศาสตร์ สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง มีวัตถุประสงค์เพื่อเปิดโอกาสให้นักเรียนระดับชั้นมัธยมศึกษาตอนปลายได้เข้ามาสัมผัสกับการเขียนโปรแกรมคอมพิวเตอร์อย่างใกล้ชิด,,,100,,https://www.cs-camp.net,https://www.facebook.com/cskmitl.camp,2020-4-28 23:59:59,2020-5-20 9:0:0,2020-5-1 23:59:59,,,2020-5-31 9:0:0,2020-6-2 23:59:59,คณะวิทยาศาสตร์ สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง ,100,5,พี่พิชชี่ 081-234-5678,
39,3,137,4,"[1, 2, 3, 4, 5, 6]","[1, 2, 3]","[3, 4]",ITCAMP15 : Magic Academy,ITCAMP15 : Magic Academy โดยคณะไอทีลาดกระบัง,ITCAMP15 : Magic Academy at IT Ladkrabang,กลับมาอีกครั้ง! กับการผจญภัยครั้งใหม่ของ ค่ายไอทีแคมป์ ครั้งที่ 15 ค่ายแนะแนวสำหรับน้องๆพ่อมดแม่มดฝึกหัด ที่กำลังค้นหาตัวตน และพร้อมออกเดินทางสู่โลกแห่งเวทย์มนต์ไปกับพี่ๆ จากคณะไอทีลาดกระบัง ,คุณพร้อมแล้วรึยังกับประตูใบใหม่ที่กำลังจะเปิดขึ้น!! ถึงเวลาแล้วที่จะเปิดประตูต้อนรับเหล่าพ่อมดและแม่มดรุ่นฝึกหัด โดยครั้งนี้พี่ๆ จะพาพวกน้องๆ มาเรียนรู้ และรู้จักการประยุกต์ใช้เทคโนโลยีให้เป็นดั่งเวทมนตร์ที่แอบซ่อนอยู่รอบๆ ตัวเรา มาร่วมกันหาคำตอบของความลับที่ถูกซ่อนเร้นในโลกใบนี้ในโรงเรียนเวทมนตร์ไปด้วยกัน,,,500,,https://www.facebook.com/itcampKMITL,https://itcamp.in.th,2020-4-16 23:59:59,2020-4-25 9:0:0,2020-4-20 23:59:59,,,2020-5-30 9:0:0,2020-6-2 23:59:59,คณะเทคโนโลยีสารสนเทศ สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,120,5,พี่กิฟต์ 081-234-5678,
40,2,142,4,"[1, 2, 3, 4, 5, 6]","[1, 2, 3]","[3, 4]",Microbiologist Junior Camp 7,ค่ายนักจุลชีววิทยารุ่นเยาว์ ครั้งที่ 7,Microbiologist Junior Camp 7 at Naresuan University,ค่าย “นักจุลชีววิทยารุ่นเยาว์ ครั้งที่ 7” เป็นค่ายที่เปิดให้น้องๆ ที่มีความสนใจทางด้านจุลชีววิทยา ได้เข้ามาเรียนรู้ ได้ฝึกประสบการณ์ใหม่ๆ และเรียนรู้ทักษะต่างๆ ในห้องปฏิบัติการ แล้วเจอกันนะคะ,เปิดรับสมัครแล้วนะคะ สำหรับค่าย “จุลชีววิทยารุ่นเยาว์ ครั้งที่ 7” ให้น้องๆ มัธยมศึกษาปีที่ 4-6 ที่มีความสนใจทางด้านจุลชีววิทยาได้เข้ามาเรียนรู้ และฝึกทักษะในห้องปฏิบัติการ,,,250,,,https://www.facebook.com/microbiologistjuniorcamp,2020-3-15 23:59:59,2020-4-6 9:0:0,2020-3-18 23:59:59,,,2020-4-8 9:0:0,2020-4-10 16:0:0,มหาวิทยาลัยนเรศวร,80,5,พี่ผิง 081-234-5678,
41,4,142,4,"[1, 2, 3, 4, 5, 6]","[1, 2, 3]","[3, 4]",Education Camp 6,ค่ายปั้นคนเป็นครู ครั้งที่ 6,Education Camp 6 at Naresuan University,ค่ายปั้นคนเป็นครู ครั้งที่ 6 “Teacher’s treasure ขุมทรัพย์ล้ำค่า ศาสตราแห่งครู” จุดประกายและสร้างแรงบันดาลใจในการเรียน “ครู” สไตล์นิสิตครู มหาวิทยาลัยนเรศวร,ค่ายปั้นคนเป็นครู ครั้งที่ 6 จัดขึ้นที่คณะศึกษาศาสตร์ มหาวิทยาลัยนเรศวร เปิดรับสมัครน้องๆ ชั้นมัธยมศึกษาตอนปลายทั่วประเทศ เพื่อเป็นการจุดประกายและสร้างแรงบันดาลใจในการเรียน “ครู” ซึ่งกิจกรรมภายในค่าย จะมีทั้งเนื้อหาสาระทางวิชาการ ให้น้องๆ ได้รู้ว่าการจะไปเป็นครูจะต้องทำอะไรบ้าง จะต้องมีการเตรียมตัวเช่นไร และยังได้พบกับกิจกรรมนันทนาการที่มาสร้างสีสันควบคู่กันไปตลอดระยะเวลาในการจัดกิจกรรม นอกจากนี้ น้องๆ ยังจะได้สัมผัสกับบรรยากาศการใช้ชีวิต สไตล์นิสิตครู มหาวิทยาลัยนเรศวร ที่รับรองว่าไม่เหมือนที่อื่นอย่างแน่นอน,,,700,,,https://www.facebook.com/pankonpenkru,2020-3-10 23:59:59,2020-4-26 9:0:0,2020-3-17 23:59:59,,,2020-5-1 9:0:0,2020-5-5 16:0:0,คณะศึกษาศาสตร์ มหาวิทยาลัยนเรศวร,150,5,"พี่ฟิวส์ 089-613-9705, พี่อัญ 095-634-6974, พี่เพลง 061-273-9602",
